seed,dimension,tau,splits,mmd,base_mc,base_nll,mc,nll
7,8,0.1,1,0.23934780153459076,65.40900007453918,5.4945017333566275,64.60717024144327,5.445774343591
7,8,0.1,3,0.23934780153459076,65.40900007453918,5.4945017333566275,62.478658667182586,5.3678989333605
7,8,1,1,0.2521835538317215,74.01732325108405,5.5210372546743205,72.89097532249761,5.485801451703955
7,8,1,3,0.2521835538317215,74.01732325108405,5.5210372546743205,69.835132097451,5.427111002951955
7,8,5,1,0.1252657177145505,82.58652770584484,5.548403844522116,80.61482328338873,5.511278074473642
7,8,5,3,0.1252657177145505,82.58652770584484,5.548403844522116,76.72533723259887,5.403784306276036
8,3,0.1,1,0.4465530524026918,22.052184230917202,5.534072530641772,17.575326820663893,6.315245507067797
8,3,0.1,3,0.4465530524026918,22.052184230917202,5.534072530641772,15.892901016521817,5.904080107652589
8,3,1,1,0.4279563316353087,25.58010779206985,4.899051099125198,19.69543739424565,4.924159227022594
8,3,1,3,0.4279563316353087,25.58010779206985,4.899051099125198,17.525843375290727,4.7748000160315005
8,3,5,1,0,29.155424333843513,4.569079370781875,27.718152607850566,4.43633322259973
8,3,5,3,0,29.155424333843513,4.569079370781875,26.086715406195363,4.364357810484455
8,5,0.1,1,0.3536514882447525,42.9778015725239,5.319355876237734,40.69180014193639,5.185001729017149
8,5,0.1,3,0.3536514882447525,42.9778015725239,5.319355876237734,37.09753661348708,5.162415467920415
8,5,1,1,0.2624442722370936,46.109618881408174,5.12907898436327,44.450219391547705,5.088883985751627
8,5,1,3,0.2624442722370936,46.109618881408174,5.12907898436327,40.25917735068443,5.0231685906186785
8,5,5,1,0.05849726229040555,61.17276789248474,5.328289895580299,59.67499119699987,5.252174529948418
8,5,5,3,0.05849726229040555,61.17276789248474,5.328289895580299,56.41849665621412,5.116175889006175
8,8,0.1,1,0.2864544853644181,66.0076122641601,5.73180003904838,65.10736954562321,5.664045484285376
8,8,0.1,3,0.2864544853644181,66.0076122641601,5.73180003904838,65.87100228115608,5.662445451351165
8,8,1,1,0.23229499179801433,70.62918383980492,5.604306632029137,69.59944983168826,5.5470222024031814
8,8,1,3,0.23229499179801433,70.62918383980492,5.604306632029137,68.26537361487125,5.45836743223627
8,8,5,1,0.2723701572662027,67.52823715285611,5.811457526450104,67.25146693589528,5.738553457193614
8,8,5,3,0.2723701572662027,67.52823715285611,5.811457526450104,66.6598695815099,5.612292681124311
9,3,0.1,1,0.43911324533743556,27.399193981124437,5.908183306455595,22.794461779838397,6.010854941518925
9,3,0.1,3,0.43911324533743556,27.399193981124437,5.908183306455595,18.125261625679446,6.099341192747093
9,3,1,1,0.42890499755090783,29.457918093861778,5.0211174655183495,23.70783236560554,4.754474398568033
9,3,1,3,0.42890499755090783,29.457918093861778,5.0211174655183495,18.928065537715412,4.603069928774984
9,3,5,1,0.09511167306431272,29.73184106634902,4.577736908009768,27.57353335266688,4.433350825723763
9,3,5,3,0.09511167306431272,29.73184106634902,4.577736908009768,26.302262502251246,4.359212661833962
9,5,0.1,1,0.41814706364495413,42.32771819603304,5.585827469100171,38.87772978849911,5.3599072321921675
9,5,0.1,3,0.41814706364495413,42.32771819603304,5.585827469100171,34.6180194396071,5.291852656515024
9,5,1,1,0.31888141518595925,45.67686275725505,5.175446092151764,42.318250696424066,5.07964108178564
9,5,1,3,0.31888141518595925,45.67686275725505,5.175446092151764,37.37145607468033,4.979457816265354
9,5,5,1,0.08212425636345114,58.64697551775031,5.280587266993015,57.34707945598122,5.265623142955204
9,5,5,3,0.08212425636345114,58.64697551775031,5.280587266993015,54.14757462220804,5.130596223919143
9,8,0.1,1,0.2919920337218672,66.76424276552471,5.4160251344716555,64.546227652239,5.4362038366403045
9,8,0.1,3,0.2919920337218672,66.76424276552471,5.4160251344716555,61.028729749938115,5.334530843424389
